File Name,Category,Education,Skills
10554236.pdf,ACCOUNTANT,"Northern Maine Community College 1994 Associate : Accounting City , State , USA",Skills not found
10674770.pdf,STAFF ACCOUNTANT,"Bachelor of Science : Accounting , May 2010 University of North Carolina ï¼​ City , State Accounting","accounting, accounts payable, Accounts Receivable, ADP, advertising, AR, balance sheet, balance, bank reconciliations, benefits, billing, billings,"
11163645.pdf,ACCOUNTANT,"Computer Applications Specialist Certificate Program : 2008 Martinez Adult Education, Business Training Center ï¼​ City , State","accounts payables, accounts receivables, Accounts Payable, Accounts Receivable, administrative functions, trial balance, banking, budget, bi,"
11759079.pdf,SENIOR ACCOUNTANT,"EMORY UNIVERSITY, Goizueta Business School 5 2007 Bachelor of Business Administration : Accounting City , State GPA: GPA: 3.63/4.0","accounting, balance sheet, budgets, client, clients, derivatives, drafting, equity, financial, financial accounting, financial statements, fixed assets,"
12065211.pdf,SENIOR ACCOUNTANT,Bachelor of Business Administration : Accounting August 2002,Skills not found
12202337.pdf,INVESTMENT ACCOUNTANT,"Master of Business Administration : Finance 2011 University of Delaware , City , State , USA","Internet and Microsoft Office - MS Word, MS Power Point, MS Excel, Pivot Tables, Spreadsheets,"
12338274.pdf,ACCOUNTANT,2006,"3d, accounting, Accountant, Accounts receivables, Adobe Illustrator, Adobe Photoshop, Pagemaker, Audio Editing, auditing, banking, book,"
12442909.pdf,ACCOUNTANT,"Bachelor of Science , Accounting Strayer University ï¼​ City , State",Skills not found
12780508.pdf,ACCOUNTANT II,"Bachelor of Science Degree : Finance , May 2010","Accounting, Accounting System, accounts payable, accruals, Articulate, ATM, banking, budget, Business Intelligence, calculator, cash flow,"
12802330.pdf,LEAD ACCOUNTANT,"BS : Accounting Business Administration , 2005 University of Maryland University College ï¼​ City , State Accounting Business Administration","accounting, Accounting Systems, ad, analytical skills, auditing, automation, billing, budgeting, budgets, Budget, business operations, business"
13072019.pdf,PROJECT ACCOUNTANT,"USM - GRAPHIC DESIGN, REAL ESTATE and NVCC-ARCHITECTURAL DRAFTING","Accounting, Accounting Systems, AIA, AS400, Billings, Bluebeam,Bonds, Budgets, Business Management, Clerical, Construction Management,"
13130984.pdf,ACCOUNTANT,Education not found,"Account reconciliations, Accounting, Accountant, accounting systems, accounting system, Accounts payable, Adobe Acrobat, agency, Balance,"
13294301.pdf,ACCOUNTANT,"Bachelor of Science : Accounting and Finance , 03/2020",Skills not found
13491889.pdf,ACCOUNTANT,Education not found,Skills not found
